2021-11-18 19:51:53 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 2
2021-11-18 19:51:53 [pool-1-thread-2] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 3
2021-11-18 19:51:53 [pool-1-thread-3] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 1
2021-11-18 19:53:23 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 1 is serviced by terminal and spoiling products are false
2021-11-18 19:53:24 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.Terminal - Terminal1has served a lorry 1and spoiling products are false
2021-11-18 19:53:24 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 1
2021-11-18 19:53:24 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 2 is serviced by terminal and spoiling products are true
2021-11-18 19:53:25 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.Terminal - Terminal2has served a lorry 2and spoiling products are true
2021-11-18 19:53:25 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 2
2021-11-18 19:53:25 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 3 is serviced by terminal and spoiling products are false
2021-11-18 19:53:26 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.Terminal - Terminal3has served a lorry 3and spoiling products are false
2021-11-18 19:53:26 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 3
2021-11-18 19:53:26 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 4 is serviced by terminal and spoiling products are false
2021-11-18 19:53:27 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.Terminal - Terminal1has served a lorry 4and spoiling products are false
2021-11-18 19:53:27 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 1
2021-11-18 19:53:27 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Lorry 5 is serviced by terminal and spoiling products are false
2021-11-18 19:53:28 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.Terminal - Terminal2has served a lorry 5and spoiling products are false
2021-11-18 19:53:28 [pool-1-thread-1] INFO  by.epam.taskfifth.entity.LogisticBase - Terminal is released: 2
