2021-12-30 13:34:00 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:34:00 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:34:00 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:34:00 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:34:00 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:34:00 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:34:00 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:34:00 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:34:00 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Deregister driver.
2021-12-30 13:35:37 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:35:37 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:35:37 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:35:37 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:35:37 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:35:37 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:35:37 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:35:37 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:35:37 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Deregister driver.
2021-12-30 13:36:57 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:36:57 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:36:57 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:36:57 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:36:57 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:36:57 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:36:57 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:36:57 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:36:57 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Deregister driver.
2021-12-30 13:37:51 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:37:51 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:37:51 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:37:51 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:37:51 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:37:51 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:37:51 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:37:51 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:37:51 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Deregister driver.
2021-12-30 13:38:16 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:38:16 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:38:16 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:38:16 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:38:16 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:38:16 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:38:16 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:38:16 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:38:16 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Deregister driver.
2021-12-30 13:43:12 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:43:12 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:43:12 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:43:12 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:43:12 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:43:12 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:43:12 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:43:12 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
2021-12-30 13:43:12 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Deregister driver.
2021-12-30 13:44:26 [main] INFO  epam.finalproject.model.pool.ConnectionPool - Connection closed!
